Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
通霄加油『讚』!!,,214867945275889,none,,,,4483,N/A,2022-10-02 04:12:05 EDT,2022-10-02,04:12:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/214867945275889/permalink/5464386510323980,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-8
阿木台灣麵,mutaiwannoodle,677019506093391,TAIWANESE_RESTAURANT,HK,"60年台灣家族傳承，牛肉麵、鹹酥雞、滷肉飯
-
💛豉油街店
門市地址 | 旺角豉油街98至100號鴻都大廈地下3至4號舖
聯絡電話 | 9862-2272",2019-07-06 13:44:01,40062,42640,2022-10-02 01:00:08 EDT,2022-10-02,01:00:08,Photo,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/677019506093391/posts/1487477868380880,今晚截單！10月份第 1️⃣ 團🇹🇼.. 台灣產品預訂，有興趣請入內訂購👇🏻 https://www.mutaiwanstore.com/groupbuy-20221007 - 【提拉米蘇精緻蛋糕(6種口味)】 首次引入香港🆕‼️..CP值高的超人氣蛋糕店，源自於花蓮。因製作提拉米蘇蛋糕起家故命名之～..豐富實在的用料，美味的口感。他們的「提拉米蘇(8吋)」由新鮮乳酪製成慕斯，撒上厚磅高脂可可粉，採用小麥胚芽餅製作餅乾底，非常酥脆帶點鹹度。入口充滿滑順的奶香與咖啡香，很綿密細緻🤤🤤 ... 還有其他味道及產品，任你選擇‼️ 芋泥鮮乳捲(900g)、金莎榛果巧克力(8吋)、蜂蜜檸檬生乳酪塔(8吋)、芋頭蛋糕(8吋)、夏威夷堅果塔(6入) - 【日出。宮原眼科≈(13種口味)】 首次引入香港🆕‼️..台中最出名的伴手禮專賣店，為日出集團旗下第一間老屋改建的代表作品，創立十多年來仍是炙手可熱的台中景點～..不論是招牌鳳梨酥、日出乳酪蛋糕、奶油酥餅和各種懷舊又兼顧創意的古早味糕點🤤🤤 ... 共13款產品，任你選擇‼️ 原味乳酪蛋糕、限定100%西非可可乳酪蛋糕、蘭姆伯爵乳酪蛋糕、玫瑰白酒乳酪蛋糕、龍眼花蜜乳酪蛋糕、熱情果乳酪蛋糕、原味蜂蜜蛋糕、紅柴花蜜蜂蜜蛋糕、荔枝花蜜太陽餅、鹹鳳梨酥禮盒、原味太陽餅、土鳳梨酥、17號鳳梨酥 - 這次團購產品～ 1、提拉米蘇精緻蛋糕≈(6種口味) 🆕🆕🆕 2、日出。宮原眼科≈(13種產品) 🆕🆕🆕 3、角之館金牛角≈(12種口味) 4、台灣蔬果系列(共6款)≈⚠️10月9日取貨⚠️ 5、阿木手作≈(烤雞屁股、客家小炒、滷肉汁) 6、阿木手作≈(滷鴨舌(燒肉味/辣味、無骨紅鳳爪) 7、酸菜系列≈(百頁豆腐、大腸、豆干、甜不辣) 8、不二坊蛋黃酥 ‼️香港獨家‼️ 9、維格牛奶太陽餅 10、港記酥皇翡翠綠豆糕(黑芝麻) 11、六月初一8結蛋捲≈(5種口味) 12、石安牧場≈(香滷蛋白丁/溫泉蛋) 13、松花溏心皮蛋 14、新建成沙琪瑪≈(3種口味) 15、統一布丁 16、早餐蛋黃醬 17、黑蒜頭 18、臺虎精釀~9.99啤酒 ‼️香港獨家‼️ 19、臺虎精釀~熱虎旺旺來鳳梨酒 ‼️香港獨家‼️ 20、台灣生鮮飲品($16起)≈⚠️10月9日取貨⚠️ ------------------------- 阿木網站👇🏻👇🏻👇🏻 https://www.mutaiwanstore.com/ 購物滿$800，即可免費送貨👍🏻 若全單未滿HK$800將收取HK$150為運費。疫情暫不提供上門派件服務，客戶需在處所樓下簽收。馬灣、愉景灣、離島及所有禁區不支援送貨服務~~ - 💡用電子消費券支持阿木🏷️ 1️⃣ 阿木門市(現金/八達通/AlipayHK/WeChat Pay) 2️⃣ 網站購物(Tap&Go/信用卡/PayPal) ----------------------------------------------- #阿木台灣生活百貨 #阿木台灣麵 #台灣特產 #現正試業 #限時優惠 #台灣直送 #台灣人在香港 #電子消費券 #消費券 #八達通 #TapandGo #Alipayhk #WeChatPay ----------------------------------------------- 💛阿木台灣生活百貨 👈🏻⚠️取貨地點⚠️ 門市地址 | 旺角白布街8號(藝興大廈地下舖) 門市電話 | 5598-5351 營業時間 | 12:00～22:00 - 💛阿木台灣麵(豉油街店) 門市地址 | 旺角豉油街98至100號鴻都大廈地下3至4號舖 門市電話 | 9862-2272 營業時間 | 11:30～22:30 🚇 | 旺角站E2出口 / 油麻地站A2出口,https://www.facebook.com/mutaiwannoodle/photos/a.879383325857007/1487477811714219/?type=3,,,Photos from 阿木台灣麵's post,,,,,-12.75
我愛台灣 台中市 大雅 大里 豐原 沙鹿  大甲 霧峰 潭子 神岡  大安 新社 大肚 東勢 太平 苑裡 外埔  后里 拍賣 二手區,,329913270524909,none,,,,38597,N/A,2022-10-02 00:44:20 EDT,2022-10-02,00:44:20,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/329913270524909/permalink/2134342986748586,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-92
大肚，烏日，龍井區大小事,,804686742975461,none,,,,45614,N/A,2022-10-01 22:37:26 EDT,2022-10-01,22:37:26,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/804686742975461/permalink/5171388106305281,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-62
我是日南人，也是大甲人,,1007641769282328,none,,,,14666,N/A,2022-10-01 09:27:50 EDT,2022-10-01,09:27:50,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1007641769282328/permalink/5756326594413798,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-14
大甲 苑裡 通霄 三義竹南頭份+ 十 來 分享美好,,1381019385527125,none,,,,4019,N/A,2022-10-01 08:51:25 EDT,2022-10-01,08:51:25,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1381019385527125/permalink/2907035249592190,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-18
糕点食谱,,131013982306036,none,,,,51236,N/A,2022-10-01 08:45:26 EDT,2022-10-01,08:45:26,Link,12,12,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/131013982306036/permalink/469359628471468,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies ,https://kanwatch.site/video/534403.1#7868,,,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,,,,-2.08
面包的家常做法,,1163041487370821,none,,,,46841,N/A,2022-10-01 08:44:53 EDT,2022-10-01,08:44:53,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1163041487370821/permalink/1852435588431404,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies ,https://kanwatch.site/video/534403.1#7868,,,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,,,,-0.88
蛋糕食谱,,1307938836057854,none,,,,184158,N/A,2022-10-01 08:44:45 EDT,2022-10-01,08:44:45,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1307938836057854/permalink/2143651695819893,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies ,https://kanwatch.site/video/534403.1#7868,,,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,,,,-18
糕点做法问题和食谱,,803134589805019,none,,,,227500,N/A,2022-10-01 08:44:30 EDT,2022-10-01,08:44:30,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/803134589805019/permalink/5405548242896941,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies ,https://kanwatch.site/video/534403.1#7868,,,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,新年餅 | 鹹蛋奶油酥餅 Salted Egg Yolk Cookies,,,,-18
南屯.烏日-南烏大小事（市）,,3161851307243154,none,,,,38503,N/A,2022-10-01 05:37:28 EDT,2022-10-01,05:37:28,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3161851307243154/permalink/5458163924278536,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-29
台中海線討論區,,268556680392933,none,,,,4991,N/A,2022-10-01 04:01:11 EDT,2022-10-01,04:01:11,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/268556680392933/permalink/1184780548770537,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-30
外埔人動起來！,,334965409904561,none,,,,18635,N/A,2022-10-01 02:24:28 EDT,2022-10-01,02:24:28,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/334965409904561/permalink/5543633302371053,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-0.89
台中北區大小聲,,1561484617499408,none,,,,52031,N/A,2022-10-01 01:24:44 EDT,2022-10-01,01:24:44,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1561484617499408/permalink/3210738129240707,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-56
我愛大甲、大安、外埔,,805605172794283,none,,,,58835,N/A,2022-10-01 01:16:39 EDT,2022-10-01,01:16:39,Link,5,5,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/805605172794283/permalink/5617058704982215,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-4
YA～就是愛大甲,,132137906891589,none,,,,12991,N/A,2022-10-01 01:16:23 EDT,2022-10-01,01:16:23,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/132137906891589/permalink/5172491866189476,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-13
大甲串起來,,248769908556207,none,,,,12902,N/A,2022-10-01 01:15:34 EDT,2022-10-01,01:15:34,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/248769908556207/permalink/4869061619860323,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-62
淡水美食應援團,,126048230873578,none,,,,82338,N/A,2022-09-30 06:45:33 EDT,2022-09-30,06:45:33,Photo,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/126048230873578/permalink/2887788761366164,哈囉～來跟大家分享一下 🍋法式檸檬塔登場 $120❗️❗️ 100%黃檸檬+綠檸檬汁搭配 撒上桂花點綴充滿了花的香氣 酸酸甜甜的口水直流啊🤣 數量有限要吃要快～ 再來剛開店也必須衝一下人氣吧！！現在只要店內消費掃描QRcode打卡、貼文分享就贈送一份（2片）手做奶油酥餅（柳橙）快來幫我集氣吧🥰 營業時間： 週一 公休 週二～週五11:00～20:00 週六.週日 13:00～22:00 餐點部分現在中午就有開始提供囉！ 下午相約朋友們來喝咖啡下午茶吧！ 店名：喚日cafe 地址：新北市淡水區北新路169巷7號 #coffee #植物 #甜點,https://www.facebook.com/photo.php?fbid=5850176281716237&set=gm.2887788768032830&type=3,,,Photos from 林庭妤's post,,,,,-17.5
佳就在這里-佳里,,508476772566500,none,,,,40475,N/A,2022-09-30 05:43:49 EDT,2022-09-30,05:43:49,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/508476772566500/permalink/5578498342230959,✨錦記燒餅✨ 1.芝麻餅$30 2.焦糖餅$30 3.甜燒餅$30 4.紅豆餅$30 5.奶油酥餅$40 6.地瓜酥餅$35 7.咖喱酥餅$30 8.蔥肉餅$30 9.蔥燒餅$30 10.培根起司餅$30 11.蘿蔔絲餅$30 12.燒奶餅$35 #口味自選 阿喜蛋糕 每盒$140 嘉義饅窩心烤饅頭 每盒16顆$140 原味、巧克力、蔥花、花生、草莓 五種口味自行搭配 10/1（六）取貨；地點： 18-19點；忠孝路s y m 源興機車行(如附圖） 18-19點；營頂佳福寺,https://www.facebook.com/photo.php?fbid=5785030408184169&set=gm.5578498315564295&type=3,,,Photos from 木華's post,,,,,-0.93
細說淡水,,101353660379893,none,,,,19869,N/A,2022-09-30 04:10:34 EDT,2022-09-30,04:10:34,Photo,5,5,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/101353660379893/permalink/1486952121820033,🍋法式檸檬塔登場 $120❗️❗️ 100%黃檸檬+綠檸檬汁搭配 撒上桂花點綴充滿了花的香氣 酸酸甜甜的口水直流啊🤣 數量有限要吃要快～ 再來剛開店也必須衝一下人氣吧！！現在只要店內消費掃描QRcode打卡、貼文分享就贈送一份（2片）手做奶油酥餅（柳橙）快來幫我集氣吧🥰 營業時間： 週一 公休 週二～週五11:00～20:00 週六.週日 13:00～22:00 餐點部分現在中午就有開始提供囉！ 下午相約朋友們來喝咖啡下午茶吧！ 店名：喚日cafe 地址：新北市淡水區北新路169巷7號 #coffee #植物 #甜點,https://www.facebook.com/photo.php?fbid=5850232235043975&set=gm.1486952125153366&type=3,,,Photos from 林庭妤's post,,,,,-8.2
非台中不可-TNN,,115868028537295,none,,,,7212,N/A,2022-09-29 09:48:55 EDT,2022-09-29,09:48:55,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/115868028537295/permalink/3957460021044724,首創奶油小酥餅的紅櫻花，是大甲人熟悉的老味道，也是觀光客必買的伴手禮！現在來紅櫻花總店，商品種類超豐富，每日新鮮出爐的麵包、糕點任你挑；路過休息，即享免費停車，還請你喝咖啡、吃甜點唷～,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-0.93
